tract,population,white,black,people of color,people per household,median income per household,mean income per household,income per capita,geometry
St. Louis Hills,6786,6726,5,60,,,,19430,"MULTIPOLYGON (((-90.2942635170451 38.59341269179153, -90.29438076385077 38.59298335055645, -90.29449069281996 38.59238355584781, -90.2945486676022 38.5915857424255, -90.29453777389458 38.59069397919927, -90.29443920284089 38.58979014449381, -90.29441325032194 38.58948071374007, -90.29436354642617 38.58921885585603, -90.29431796433019 38.58906980845011, -90.29422265763279 38.5888504049701, -90.29408394413178 38.58862730040173, -90.29391483004609 38.58842814166466, -90.29376536582157 38.58828253570537, -90.29362111023532 38.5881630801012, -90.2930954654958 38.58785117414855, -90.2928935197972 38.5877196982546, -90.2927905863866 38.58762409458759, -90.29266680736812 38.58747787365358, -90.29246209006428 38.58719171318558, -90.29332343925238 38.58207587000828, -90.29477472051148 38.57409428239649, -90.29487799986398 38.573545740554, -90.29499741954929 38.57317593318164, -90.29523128599932 38.57273287179182, -90.29579570749191 38.57187756101011, -90.29598944761992 38.57108728503377, -90.29617442065769 38.56999403267504, -90.2970101546851 38.57049546752201, -90.29911429051529 38.57166500028199, -90.30011284255964 38.57220815601796, -90.30065544206312 38.57258206361609, -90.30140159557479 38.57323274890092, -90.30164278130941 38.57351008680246, -90.30195212165486 38.57390989900211, -90.30224934439426 38.57436738226633, -90.30245656962008 38.5748116696403, -90.30572326215599 38.57516749261581, -90.30576727317468 38.57528198931468, -90.30613547604972 38.57624302246739, -90.30671831858922 38.57641217563577, -90.30721853342166 38.57641368703707, -90.30780857722324 38.5761922355756, -90.30863144078447 38.57795008395235, -90.30859094548451 38.57805071161358, -90.30858535400206 38.57818044846146, -90.30862583377879 38.57841529310609, -90.30854257475306 38.57881194624404, -90.30876148949773 38.57936585946603, -90.30897383739442 38.57942867649464, -90.30937166233136 38.5794638965433, -90.30960294029106 38.57997570545943, -90.30978919004802 38.57998699206025, -90.30958010615926 38.58023721967166, -90.30947024983897 38.58054639916195, -90.30946426022295 38.58070818053633, -90.30951812255731 38.58095059790938, -90.30976680006829 38.58249403136212, -90.309944437933 38.58278882252398, -90.31013731818371 38.58294197484348, -90.31036099382727 38.58302518261209, -90.31059769797754 38.58314298247888, -90.31065530113172 38.5833085188394, -90.31076613997038 38.58383775920462, -90.31093874240787 38.58449475813951, -90.31132616856759 38.58527962486639, -90.31174090749106 38.58588415313064, -90.31211554740554 38.58631908097643, -90.31250390049512 38.58664853043285, -90.31306950278135 38.58698790006903, -90.31248893200554 38.58735951344168, -90.31179589869319 38.58770894811776, -90.30017705611684 38.59325636909568, -90.29945387495225 38.59359724871371, -90.29914768667416 38.59371111947392, -90.29880899606199 38.59377369433567, -90.29845438241841 38.59379963742713, -90.29827241923894 38.59380734207049, -90.29782497205335 38.59376126197767, -90.2942635170451 38.59341269179153)), ((-90.31038950058554 38.57565552054409, -90.31357914735614 38.57878284117906, -90.31407652440323 38.57989162170728, -90.31624296598496 38.58472249697554, -90.3159012341018 38.58497090724581, -90.31471538195953 38.5858218986565, -90.31461911459094 38.58573593548547, -90.31422291475198 38.58539500249253, -90.31405542613047 38.58522517450053, -90.31371661878772 38.58478459824931, -90.31357462231395 38.58456606961686, -90.31305065180717 38.58358512398384, -90.31292659072658 38.58319730822372, -90.31268312532617 38.58177520581264, -90.31265136374989 38.58154515459216, -90.31263792918418 38.58120897443641, -90.31260119778401 38.58053569211091, -90.31259648228212 38.5804521803451, -90.31266133345406 38.58006395246899, -90.31269803977101 38.57984455519283, -90.31269941249668 38.57942374111194, -90.31253780547169 38.57935302141136, -90.31106082018881 38.57842592159821, -90.31070329738769 38.57813792568176, -90.31041231576663 38.57782164336539, -90.31031964292804 38.57770501014731, -90.30947566685383 38.57664189141911, -90.30905748026007 38.57592654961648, -90.3090858118653 38.57558379167607, -90.30909089539978 38.57552660186767, -90.31038950058554 38.57565552054409)))"
St. Louis Place,3799,530,3246,3269,,,,6470,"POLYGON ((-90.2033192861456 38.65623056107973, -90.2031655215068 38.65607683963845, -90.2024205056734 38.65488868803832, -90.20167770105265 38.65364611325911, -90.2011982042862 38.65281949736727, -90.2005605752522 38.6517000081535, -90.19840318661923 38.64747373037797, -90.19721225449962 38.64507962563782, -90.19695953229714 38.64453777978355, -90.19684665600035 38.6443200935981, -90.19677978970134 38.64398560567697, -90.19669597035441 38.64379408078934, -90.19639156448434 38.64347111346375, -90.19618218728384 38.64330534843686, -90.19592631241046 38.64316486186491, -90.19570331359397 38.64304964025403, -90.19518414726505 38.64293364693022, -90.19462859522731 38.64280335997188, -90.19424061005316 38.64264948171611, -90.19399261642793 38.6423696565037, -90.19388616455207 38.64215083092061, -90.19384392496728 38.64186629887016, -90.19392023663717 38.64162279888429, -90.19408275295933 38.64113903731676, -90.20515912749178 38.64347255956591, -90.21283432932603 38.64507865068794, -90.2128421942772 38.6451521231169, -90.21289070046198 38.64557901166396, -90.21290731467862 38.64609231808805, -90.21290317192867 38.64662158218522, -90.21289844979567 38.64705910395173, -90.21291232721076 38.64760900650948, -90.21292082634676 38.64803258396707, -90.21290622319079 38.64833138548526, -90.21288531695093 38.64852494826341, -90.21282009867632 38.64878427662795, -90.21289840941361 38.64897325011371, -90.21288530621308 38.64940501218432, -90.212869085585 38.64945096635081, -90.21285661734173 38.64950426130244, -90.21299131972354 38.65711402275879, -90.21295928758231 38.65717276145821, -90.21292636807087 38.65723446354842, -90.21261497443091 38.65817211205567, -90.21260692031508 38.65821580707585, -90.2125979770895 38.65826290483281, -90.21134355228223 38.65865706612131, -90.20838453734468 38.65738221716341, -90.20793613625248 38.65720352078208, -90.2076691689746 38.65711201937845, -90.20373462403383 38.65628721831278, -90.2033192861456 38.65623056107973))"
The Gate District,3403,495,2874,2908,,,,8754,"POLYGON ((-90.2185981959144 38.62222836856981, -90.2201869433527 38.61827824144368, -90.22043728649687 38.61744385914655, -90.22102401038774 38.61469288130012, -90.22124748452906 38.61369642301454, -90.22481229764179 38.61403096690122, -90.22811689878175 38.6143085064157, -90.22941197693844 38.61442389909042, -90.2299693840215 38.61449405454693, -90.23049635441794 38.61457992632977, -90.2309285514192 38.61467455703123, -90.23128260301088 38.61475818775775, -90.23165378340379 38.61485698674892, -90.23212514710058 38.61500818654702, -90.23257569232545 38.61517715793013, -90.23284217977498 38.61527983272897, -90.23324938968791 38.61543250160328, -90.23378852201718 38.61563028277315, -90.2340617461947 38.6157293180354, -90.23430642078739 38.61581637051889, -90.23467111918896 38.61593870526013, -90.23496567157741 38.6160252104282, -90.23529959483371 38.6161129022929, -90.23547765144751 38.61615680040887, -90.23583026161673 38.61623607554912, -90.2361616440395 38.61630135246187, -90.23647239094223 38.61635331914285, -90.23721229945028 38.61644513189655, -90.23937339524984 38.61664769940251, -90.2393237900796 38.61705673184726, -90.23858300167517 38.62064727058958, -90.23673333361091 38.62599882595182, -90.2185981959144 38.62222836856981))"
The Hill,2971,2927,22,44,,,,12718,"POLYGON ((-90.2660823726204 38.62054846445416, -90.26651228190015 38.6184161781028, -90.26767633690646 38.61264306770479, -90.27122465461629 38.61178830359802, -90.27202697985797 38.61159787401518, -90.2726981411255 38.611404218612, -90.27303932033269 38.6113183840413, -90.27343477538389 38.61123383432163, -90.2737347593544 38.61118202240289, -90.27524426720559 38.61099980080191, -90.27552150215965 38.61103740300769, -90.28759530998393 38.6122222387416, -90.28748945202177 38.61251539425057, -90.28738758322538 38.61284403430924, -90.28730650935313 38.61313476331127, -90.28724143159542 38.61343647758562, -90.28719677069354 38.61374553311096, -90.28715408316255 38.61407359402209, -90.28712776256231 38.61448864824643, -90.28713555601169 38.61510830873083, -90.28713711205499 38.61616873421703, -90.28712270447244 38.61649615993796, -90.28712708617519 38.61668335782239, -90.28716151859379 38.61687538827867, -90.28724006137679 38.61714693862118, -90.28734573743228 38.61740409463326, -90.28748326244964 38.61765010500263, -90.28767800241907 38.61798321001255, -90.28793998719662 38.61825459828524, -90.28811776983473 38.618499554998, -90.28820413187974 38.61869673161817, -90.28836534149377 38.61911509068393, -90.28845563791123 38.61965345560916, -90.28847675928456 38.62001757619348, -90.2884289633908 38.62050055314531, -90.28805711539546 38.62244742805073, -90.28013802223747 38.62339292851206, -90.27569654827354 38.62390850326786, -90.27256723597706 38.62427725368799, -90.2723083826842 38.62431107430329, -90.2715433462748 38.62446494743459, -90.2680798044244 38.62543224989022, -90.26501027788625 38.62585514844626, -90.2660823726204 38.62054846445416))"
The Ville,3061,12,3041,3049,,,,7100,"POLYGON ((-90.23662914313731 38.65281917948406, -90.24509577736971 38.65653035771124, -90.24805855416291 38.65782740765052, -90.24281634020365 38.66522585165389, -90.23134052903632 38.66023529775372, -90.23662914313731 38.65281917948406))"
Tiffany,1355,219,1013,1136,,,,9477,"POLYGON ((-90.23673333361091 38.62599882595182, -90.23858300167517 38.62064727058958, -90.2393237900796 38.61705673184726, -90.23937339524984 38.61664769940251, -90.23938186265811 38.61664840474322, -90.24503749097272 38.61717119484768, -90.2444200798613 38.62133593773175, -90.24436005154053 38.62165136816702, -90.24427879124133 38.62186399969104, -90.24410905016884 38.62217345116085, -90.24338797493117 38.62340775710458, -90.2421410032896 38.62713743759375, -90.23673333361091 38.62599882595182))"
Tower Grove East,7600,5416,1725,2184,,,,11028,"POLYGON ((-90.22933093261111 38.60844989074821, -90.23073215384515 38.60162665676537, -90.23188467734279 38.60113506249687, -90.23207954487775 38.60103275597607, -90.23254220152081 38.60075282293393, -90.23338200825854 38.60020530545164, -90.23393087298875 38.59986880479017, -90.23473507109959 38.59932169079391, -90.23611574460325 38.59830401114471, -90.23753016556645 38.59722298703329, -90.24053880430941 38.59519451832315, -90.24126168811931 38.59468696722546, -90.24241018196119 38.59364651158077, -90.24319614238112 38.59293657431033, -90.24384340471467 38.59246019966832, -90.24227716615252 38.60268501199182, -90.24229065419064 38.60282739083824, -90.24229792541503 38.60290772537568, -90.24142948526233 38.60721236386316, -90.24081478747536 38.60986977797338, -90.24068737476276 38.60985735869404, -90.22933093261111 38.60844989074821))"
Tower Grove South,14703,13336,859,1367,,,,11897,"POLYGON ((-90.24229065419064 38.60282739083824, -90.24227716615252 38.60268501199182, -90.24364034201746 38.59380575851118, -90.24392372587933 38.59193156277987, -90.24451243843427 38.58839511945352, -90.25971751640319 38.58995832177845, -90.26161552870879 38.59014618098511, -90.26173148898887 38.59017387650982, -90.26193047865274 38.5902212095504, -90.26403627692756 38.59043509905595, -90.26978088312438 38.59108137366288, -90.27308805263741 38.59145397586433, -90.27330046367258 38.59149810284708, -90.27155575150475 38.59397703883882, -90.27137516841411 38.59427667993172, -90.27133854235618 38.5944287607921, -90.27123483744529 38.59485788548344, -90.26970775339039 38.6023520365443, -90.26922106103548 38.60506521321564, -90.26872595605326 38.60504548107557, -90.26798108452927 38.60507330573004, -90.26690623376614 38.60513913157474, -90.2666840136342 38.60514116007752, -90.26651488947567 38.60512939968761, -90.26570591004587 38.60504859013969, -90.25889552817648 38.60440544419019, -90.24229065419064 38.60282739083824))"
Vandeventer,3480,23,3448,3457,,,,6694,"POLYGON ((-90.23236362579676 38.65094881549954, -90.23776914584381 38.64334433841727, -90.24540176352907 38.64670926189827, -90.24546703686504 38.64672725236273, -90.24552884625523 38.64674454877798, -90.25052599849023 38.64893839414875, -90.24511819738473 38.65645901297071, -90.24509577736971 38.65653035771124, -90.23236362579676 38.65094881549954))"
Visitation Park,1388,63,1321,1325,,,,5338,"POLYGON ((-90.27222736100603 38.65957091542129, -90.27336866448594 38.65267647999042, -90.27348585163074 38.65271493003556, -90.27374501926921 38.65279163059706, -90.2743110172633 38.6529220013948, -90.27456679727125 38.65297398040538, -90.27913550132874 38.65342940020579, -90.27802707353773 38.66016150612776, -90.27222736100603 38.65957091542129))"
Walnut Park East,7353,210,7133,7143,,,,8132,"POLYGON ((-90.24104811955588 38.69716665691883, -90.25397008516646 38.69010288327436, -90.25429535268026 38.68992964230119, -90.25452066214147 38.69003333354003, -90.25477027998298 38.69012881018384, -90.25532833265028 38.6903535495756, -90.25611785483638 38.69067580905664, -90.25662662528946 38.6908887419589, -90.25713187187981 38.69110855751371, -90.25775267558848 38.69143089477061, -90.25816030033307 38.6916768092522, -90.2586105334518 38.69201619802823, -90.25880617051949 38.69218522686858, -90.25900556520486 38.692372825346, -90.2592362678235 38.69261746517957, -90.25934999083205 38.69274491638809, -90.25949800952959 38.69292644969493, -90.25968342099355 38.69318953023862, -90.25986378667696 38.69347410044161, -90.26000452560548 38.69372747809738, -90.2601309625332 38.69399364954803, -90.26023545634975 38.69426296109692, -90.26031242950627 38.69455830209525, -90.26038129166136 38.69491150977274, -90.26044087571867 38.69534685540905, -90.26046546349953 38.69575928350321, -90.26048189137614 38.69608651735791, -90.26051402071556 38.69661220131196, -90.26057904163233 38.69707798233883, -90.2606904086603 38.6974841625218, -90.26086357007223 38.69791630776667, -90.26086416116667 38.69791768191977, -90.26077386342796 38.69802321394553, -90.26058241524855 38.69816810710733, -90.26052982895445 38.69826026128801, -90.26030042050166 38.69857647459359, -90.26020917864152 38.69870191192444, -90.26004768288701 38.69887937692214, -90.25997035702983 38.69895061132198, -90.25968870550118 38.69918115426803, -90.25953680981253 38.69928493863746, -90.25905662187314 38.69958737085063, -90.25438710427159 38.70241072532951, -90.25275428445008 38.70339374390319, -90.24942545690928 38.70676868207776, -90.24104811955588 38.69716665691883))"
Walnut Park West,4610,137,4453,4473,,,,7683,"POLYGON ((-90.24942545690928 38.70676868207776, -90.25275428445008 38.70339374390319, -90.25438710427159 38.70241072532951, -90.25905662187314 38.69958737085063, -90.25953680981253 38.69928493863746, -90.25968870550118 38.69918115426803, -90.25997035702983 38.69895061132198, -90.26004768288701 38.69887937692214, -90.26020917864152 38.69870191192444, -90.26030042050166 38.69857647459359, -90.26052982895445 38.69826026128801, -90.26058241524855 38.69816810710733, -90.26077386342796 38.69802321394553, -90.26086416116667 38.69791768191977, -90.26098281078711 38.69814745332215, -90.26123614116391 38.69853904027735, -90.26139019739421 38.69874345660533, -90.2616569490966 38.69904102332868, -90.26191014962281 38.69929416083101, -90.2622560768889 38.69958705457755, -90.26258587299699 38.6998104161184, -90.26289593449627 38.70000463030022, -90.26319178843463 38.70016174540061, -90.26341628542013 38.70027041524141, -90.26375831240739 38.70042075759062, -90.26404147064089 38.7005396495889, -90.2655899207667 38.701183269529, -90.26572639924181 38.70123890011956, -90.26403974324461 38.70336862357773, -90.25651011309888 38.71287366046186, -90.25577801343604 38.71379293744889, -90.25533340983422 38.71348309634841, -90.25500550343595 38.71311536781043, -90.24942545690928 38.70676868207776))"
Wells Goodfellow,11738,101,11603,11637,,,,6650,"POLYGON ((-90.25824365888472 38.67925375889202, -90.26770622536912 38.66577007768237, -90.27562251798508 38.67006397807035, -90.27939118641827 38.6720981443268, -90.28599811495789 38.67563096642431, -90.28574519944128 38.6759513343663, -90.28117204976412 38.68172962907537, -90.27521992897664 38.68924898588031, -90.2733028647542 38.68759728246788, -90.27252663829582 38.68692371763816, -90.27216178023015 38.68662963604613, -90.27193719274476 38.68647040321952, -90.27127549418505 38.68605673253301, -90.26839081816952 38.68414584350627, -90.26640553392002 38.68292222312542, -90.26576830709666 38.68254385474121, -90.26520511784095 38.68229144849371, -90.25824365888472 38.67925375889202))"
West End,8796,163,8600,8633,,,,7562,"POLYGON ((-90.27201004950319 38.66092103891454, -90.2720557298869 38.66078451908634, -90.27222736100603 38.65957091542129, -90.27802707353773 38.66016150612776, -90.27913550132874 38.65342940020579, -90.28434255522491 38.65394853675325, -90.2945842681344 38.65495535986005, -90.30180699830606 38.65564562049342, -90.29659144362813 38.66224109932774, -90.28997927623482 38.67059964580317, -90.2889987494106 38.67002879271423, -90.27616755984056 38.66311003176524, -90.27220341686383 38.66096076448132, -90.27212381829798 38.66093704956474, -90.27201004950319 38.66092103891454))"
Wydown Skinker,1169,1092,55,77,,,,24068,"POLYGON ((-90.30092469114133 38.64791726320842, -90.3010175694143 38.6473536027091, -90.30123143513831 38.64598650089546, -90.30140064427586 38.64516710519907, -90.30153756509229 38.64460236548791, -90.3015946951825 38.64441620694547, -90.30166523886017 38.6442286706931, -90.30268694513795 38.641514906845, -90.30293003012017 38.64053159175317, -90.30315595157415 38.63944640101398, -90.30335343152528 38.63838908781895, -90.30351304437974 38.63731180259224, -90.30367589019579 38.63624114003537, -90.30381212206021 38.63538966666884, -90.303898348967 38.63500425661209, -90.30409992288983 38.63426066960247, -90.30428926807998 38.63362255996493, -90.30433945334225 38.63339676446314, -90.3044978199229 38.63267850406084, -90.30451862758541 38.63264789434801, -90.30516968273102 38.63300345126031, -90.30569801980563 38.63331508573917, -90.30585035107795 38.63341463111612, -90.30595744092747 38.63350542415979, -90.30600050563028 38.63355560862866, -90.30627377798386 38.63358192800405, -90.30637286871541 38.6336143566048, -90.30479591622166 38.64244771788093, -90.30359249113467 38.64495390569436, -90.30358120199104 38.64502344077547, -90.30311128535146 38.64783770759669, -90.30133216298826 38.64765047642148, -90.30132121100449 38.64771108760217, -90.30128365869405 38.64778035814712, -90.30124797611995 38.64781920712996, -90.30119622106827 38.64785824846257, -90.3011295991998 38.64789199234546, -90.30108842192071 38.64790449862425, -90.30104431028481 38.64791450111656, -90.30096582728277 38.64791963977029, -90.30092469114133 38.64791726320842))"
