boundaries,geometry
73,"POLYGON ((-90.31507105433005 38.60796528179924, -90.31443861699341 38.60796528179924, -90.31443861699341 38.60675994459653, -90.31558401352437 38.60675994459653, -90.31544208494732 38.60710863121815, -90.31507105433005 38.60796528179924))"
74,"POLYGON ((-90.31454900132942 38.60917061900194, -90.31443861699341 38.60917061900194, -90.31443861699341 38.60796528179924, -90.31507105433005 38.60796528179924, -90.31454900132942 38.60917061900194))"
75,"POLYGON ((-90.31443861699341 38.60942547884687, -90.31443861699341 38.60917061900194, -90.31454900132942 38.60917061900194, -90.31443861699341 38.60942547884687))"
76,"POLYGON ((-90.31368302567556 38.57903718893429, -90.31322689968201 38.57903718893429, -90.31322689968201 38.57845702530167, -90.31359941423757 38.57883113970409, -90.31368302567556 38.57903718893429))"
77,"POLYGON ((-90.31416453573236 38.58024252613701, -90.31322689968201 38.58024252613701, -90.31322689968201 38.57903718893429, -90.31368302567556 38.57903718893429, -90.3141529121995 38.58019516156185, -90.31416453573236 38.58024252613701))"
78,"POLYGON ((-90.31443861699341 38.58118654350277, -90.31443861699341 38.58144786333971, -90.31322689968201 38.58144786333971, -90.31322689968201 38.58024252613701, -90.31416453573236 38.58024252613701, -90.31437329668736 38.58109320329873, -90.31443861699341 38.58118654350277))"
79,"POLYGON ((-90.31443861699341 38.58144786333971, -90.31443861699341 38.58265320054242, -90.31322689968201 38.58265320054242, -90.31322689968201 38.58144786333971, -90.31443861699341 38.58144786333971))"
80,"POLYGON ((-90.31443861699341 38.58265320054242, -90.31443861699341 38.58385853774512, -90.31322689968201 38.58385853774512, -90.31322689968201 38.58265320054242, -90.31443861699341 38.58265320054242))"
81,"POLYGON ((-90.31443861699341 38.58385853774512, -90.31443861699341 38.58506387494783, -90.31322689968201 38.58506387494783, -90.31322689968201 38.58385853774512, -90.31443861699341 38.58385853774512))"
82,"POLYGON ((-90.31443861699341 38.58506387494783, -90.31443861699341 38.58626921215053, -90.31322689968201 38.58626921215053, -90.31322689968201 38.58506387494783, -90.31443861699341 38.58506387494783))"
83,"POLYGON ((-90.31443861699341 38.58626921215053, -90.31443861699341 38.58747454935324, -90.31322689968201 38.58747454935324, -90.31322689968201 38.58626921215053, -90.31443861699341 38.58626921215053))"
84,"POLYGON ((-90.31443861699341 38.58747454935324, -90.31443861699341 38.58867988655594, -90.31322689968201 38.58867988655594, -90.31322689968201 38.58747454935324, -90.31443861699341 38.58747454935324))"
85,"POLYGON ((-90.31443861699341 38.58867988655594, -90.31443861699341 38.58988522375865, -90.31322689968201 38.58988522375865, -90.31322689968201 38.58867988655594, -90.31443861699341 38.58867988655594))"
86,"POLYGON ((-90.31443861699341 38.58988522375865, -90.31443861699341 38.59109056096136, -90.31322689968201 38.59109056096136, -90.31322689968201 38.58988522375865, -90.31443861699341 38.58988522375865))"
87,"POLYGON ((-90.31443861699341 38.59109056096136, -90.31443861699341 38.59229589816406, -90.31322689968201 38.59229589816406, -90.31322689968201 38.59109056096136, -90.31443861699341 38.59109056096136))"
88,"POLYGON ((-90.31443861699341 38.59229589816406, -90.31443861699341 38.59350123536677, -90.31322689968201 38.59350123536677, -90.31322689968201 38.59229589816406, -90.31443861699341 38.59229589816406))"
89,"POLYGON ((-90.31443861699341 38.59350123536677, -90.31443861699341 38.59470657256947, -90.31322689968201 38.59470657256947, -90.31322689968201 38.59350123536677, -90.31443861699341 38.59350123536677))"
90,"POLYGON ((-90.31443861699341 38.59470657256947, -90.31443861699341 38.59591190977218, -90.31322689968201 38.59591190977218, -90.31322689968201 38.59470657256947, -90.31443861699341 38.59470657256947))"
91,"POLYGON ((-90.31443861699341 38.59591190977218, -90.31443861699341 38.59711724697488, -90.31322689968201 38.59711724697488, -90.31322689968201 38.59591190977218, -90.31443861699341 38.59591190977218))"
92,"POLYGON ((-90.31443861699341 38.59711724697488, -90.31443861699341 38.59832258417759, -90.31322689968201 38.59832258417759, -90.31322689968201 38.59711724697488, -90.31443861699341 38.59711724697488))"
93,"POLYGON ((-90.31443861699341 38.59832258417759, -90.31443861699341 38.5995279213803, -90.31322689968201 38.5995279213803, -90.31322689968201 38.59832258417759, -90.31443861699341 38.59832258417759))"
94,"POLYGON ((-90.31443861699341 38.5995279213803, -90.31443861699341 38.60073325858301, -90.31322689968201 38.60073325858301, -90.31322689968201 38.5995279213803, -90.31443861699341 38.5995279213803))"
95,"POLYGON ((-90.31443861699341 38.60073325858301, -90.31443861699341 38.60193859578571, -90.31322689968201 38.60193859578571, -90.31322689968201 38.60073325858301, -90.31443861699341 38.60073325858301))"
96,"POLYGON ((-90.31443861699341 38.60193859578571, -90.31443861699341 38.60314393298842, -90.31322689968201 38.60314393298842, -90.31322689968201 38.60193859578571, -90.31443861699341 38.60193859578571))"
97,"POLYGON ((-90.31443861699341 38.60314393298842, -90.31443861699341 38.60434927019112, -90.31322689968201 38.60434927019112, -90.31322689968201 38.60314393298842, -90.31443861699341 38.60314393298842))"
98,"POLYGON ((-90.31443861699341 38.60434927019112, -90.31443861699341 38.60555460739383, -90.31322689968201 38.60555460739383, -90.31322689968201 38.60434927019112, -90.31443861699341 38.60434927019112))"
99,"POLYGON ((-90.31443861699341 38.60555460739383, -90.31443861699341 38.60675994459653, -90.31322689968201 38.60675994459653, -90.31322689968201 38.60555460739383, -90.31443861699341 38.60555460739383))"
100,"POLYGON ((-90.31443861699341 38.60675994459653, -90.31443861699341 38.60796528179924, -90.31322689968201 38.60796528179924, -90.31322689968201 38.60675994459653, -90.31443861699341 38.60675994459653))"
101,"POLYGON ((-90.31443861699341 38.60796528179924, -90.31443861699341 38.60917061900194, -90.31322689968201 38.60917061900194, -90.31322689968201 38.60796528179924, -90.31443861699341 38.60796528179924))"
102,"POLYGON ((-90.31401976909234 38.61037595620465, -90.31322689968201 38.61037595620465, -90.31322689968201 38.60917061900194, -90.31443861699341 38.60917061900194, -90.31443861699341 38.60942547884687, -90.31429507513471 38.60975689412891, -90.31401976909234 38.61037595620465))"
103,"POLYGON ((-90.31350481637912 38.61158129340735, -90.31322689968201 38.61158129340735, -90.31322689968201 38.61037595620465, -90.31401976909234 38.61037595620465, -90.31367671107898 38.61114736755478, -90.31350481637912 38.61158129340735))"
104,"POLYGON ((-90.31322689968201 38.61228285802706, -90.31322689968201 38.61158129340735, -90.31350481637912 38.61158129340735, -90.31322689968201 38.61228285802706))"
105,"POLYGON ((-90.31260439957747 38.57783185173159, -90.31201518237059 38.57783185173159, -90.31201518237059 38.57724010399998, -90.31260439957747 38.57783185173159))"
106,"POLYGON ((-90.31322689968201 38.57845702530167, -90.31322689968201 38.57903718893429, -90.31201518237059 38.57903718893429, -90.31201518237059 38.57783185173159, -90.31260439957747 38.57783185173159, -90.31322689968201 38.57845702530167))"
107,"POLYGON ((-90.31322689968201 38.57903718893429, -90.31322689968201 38.58024252613701, -90.31201518237059 38.58024252613701, -90.31201518237059 38.57903718893429, -90.31322689968201 38.57903718893429))"
108,"POLYGON ((-90.31322689968201 38.58024252613701, -90.31322689968201 38.58144786333971, -90.31201518237059 38.58144786333971, -90.31201518237059 38.58024252613701, -90.31322689968201 38.58024252613701))"
109,"POLYGON ((-90.31322689968201 38.58144786333971, -90.31322689968201 38.58265320054242, -90.31201518237059 38.58265320054242, -90.31201518237059 38.58144786333971, -90.31322689968201 38.58144786333971))"
110,"POLYGON ((-90.31322689968201 38.58265320054242, -90.31322689968201 38.58385853774512, -90.31201518237059 38.58385853774512, -90.31201518237059 38.58265320054242, -90.31322689968201 38.58265320054242))"
111,"POLYGON ((-90.31322689968201 38.58385853774512, -90.31322689968201 38.58506387494783, -90.31201518237059 38.58506387494783, -90.31201518237059 38.58385853774512, -90.31322689968201 38.58385853774512))"
112,"POLYGON ((-90.31322689968201 38.58506387494783, -90.31322689968201 38.58626921215053, -90.31201518237059 38.58626921215053, -90.31201518237059 38.58506387494783, -90.31322689968201 38.58506387494783))"
113,"POLYGON ((-90.31322689968201 38.58626921215053, -90.31322689968201 38.58747454935324, -90.31201518237059 38.58747454935324, -90.31201518237059 38.58626921215053, -90.31322689968201 38.58626921215053))"
114,"POLYGON ((-90.31322689968201 38.58747454935324, -90.31322689968201 38.58867988655594, -90.31201518237059 38.58867988655594, -90.31201518237059 38.58747454935324, -90.31322689968201 38.58747454935324))"
115,"POLYGON ((-90.31322689968201 38.58867988655594, -90.31322689968201 38.58988522375865, -90.31201518237059 38.58988522375865, -90.31201518237059 38.58867988655594, -90.31322689968201 38.58867988655594))"
116,"POLYGON ((-90.31322689968201 38.58988522375865, -90.31322689968201 38.59109056096136, -90.31201518237059 38.59109056096136, -90.31201518237059 38.58988522375865, -90.31322689968201 38.58988522375865))"
117,"POLYGON ((-90.31322689968201 38.59109056096136, -90.31322689968201 38.59229589816406, -90.31201518237059 38.59229589816406, -90.31201518237059 38.59109056096136, -90.31322689968201 38.59109056096136))"
118,"POLYGON ((-90.31322689968201 38.59229589816406, -90.31322689968201 38.59350123536677, -90.31201518237059 38.59350123536677, -90.31201518237059 38.59229589816406, -90.31322689968201 38.59229589816406))"
119,"POLYGON ((-90.31322689968201 38.59350123536677, -90.31322689968201 38.59470657256947, -90.31201518237059 38.59470657256947, -90.31201518237059 38.59350123536677, -90.31322689968201 38.59350123536677))"
120,"POLYGON ((-90.31322689968201 38.59470657256947, -90.31322689968201 38.59591190977218, -90.31201518237059 38.59591190977218, -90.31201518237059 38.59470657256947, -90.31322689968201 38.59470657256947))"
121,"POLYGON ((-90.31322689968201 38.59591190977218, -90.31322689968201 38.59711724697488, -90.31201518237059 38.59711724697488, -90.31201518237059 38.59591190977218, -90.31322689968201 38.59591190977218))"
122,"POLYGON ((-90.31322689968201 38.59711724697488, -90.31322689968201 38.59832258417759, -90.31201518237059 38.59832258417759, -90.31201518237059 38.59711724697488, -90.31322689968201 38.59711724697488))"
123,"POLYGON ((-90.31322689968201 38.59832258417759, -90.31322689968201 38.5995279213803, -90.31201518237059 38.5995279213803, -90.31201518237059 38.59832258417759, -90.31322689968201 38.59832258417759))"
124,"POLYGON ((-90.31322689968201 38.5995279213803, -90.31322689968201 38.60073325858301, -90.31201518237059 38.60073325858301, -90.31201518237059 38.5995279213803, -90.31322689968201 38.5995279213803))"
125,"POLYGON ((-90.31322689968201 38.60073325858301, -90.31322689968201 38.60193859578571, -90.31201518237059 38.60193859578571, -90.31201518237059 38.60073325858301, -90.31322689968201 38.60073325858301))"
126,"POLYGON ((-90.31322689968201 38.60193859578571, -90.31322689968201 38.60314393298842, -90.31201518237059 38.60314393298842, -90.31201518237059 38.60193859578571, -90.31322689968201 38.60193859578571))"
127,"POLYGON ((-90.31322689968201 38.60314393298842, -90.31322689968201 38.60434927019112, -90.31201518237059 38.60434927019112, -90.31201518237059 38.60314393298842, -90.31322689968201 38.60314393298842))"
128,"POLYGON ((-90.31322689968201 38.60434927019112, -90.31322689968201 38.60555460739383, -90.31201518237059 38.60555460739383, -90.31201518237059 38.60434927019112, -90.31322689968201 38.60434927019112))"
129,"POLYGON ((-90.31322689968201 38.60555460739383, -90.31322689968201 38.60675994459653, -90.31201518237059 38.60675994459653, -90.31201518237059 38.60555460739383, -90.31322689968201 38.60555460739383))"
130,"POLYGON ((-90.31322689968201 38.60675994459653, -90.31322689968201 38.60796528179924, -90.31201518237059 38.60796528179924, -90.31201518237059 38.60675994459653, -90.31322689968201 38.60675994459653))"
131,"POLYGON ((-90.31322689968201 38.60796528179924, -90.31322689968201 38.60917061900194, -90.31201518237059 38.60917061900194, -90.31201518237059 38.60796528179924, -90.31322689968201 38.60796528179924))"
132,"POLYGON ((-90.31322689968201 38.60917061900194, -90.31322689968201 38.61037595620465, -90.31201518237059 38.61037595620465, -90.31201518237059 38.60917061900194, -90.31322689968201 38.60917061900194))"
133,"POLYGON ((-90.31322689968201 38.61037595620465, -90.31322689968201 38.61158129340735, -90.31201518237059 38.61158129340735, -90.31201518237059 38.61037595620465, -90.31322689968201 38.61037595620465))"
134,"POLYGON ((-90.313027336009 38.61278663061006, -90.31201518237059 38.61278663061006, -90.31201518237059 38.61158129340735, -90.31322689968201 38.61158129340735, -90.31322689968201 38.61228285802706, -90.313027336009 38.61278663061006))"
135,"POLYGON ((-90.31253250590166 38.61399196781277, -90.31201518237059 38.61399196781277, -90.31201518237059 38.61278663061006, -90.313027336009 38.61278663061006, -90.3126994809185 38.61361425822034, -90.31253250590166 38.61399196781277))"
136,"POLYGON ((-90.31201518237059 38.61516219114182, -90.31201518237059 38.61399196781277, -90.31253250590166 38.61399196781277, -90.31201518237059 38.61516219114182))"
137,"POLYGON ((-90.3114042168273 38.57662651452888, -90.31080346505918 38.57662651452888, -90.31080346505918 38.57602318269829, -90.3114042168273 38.57662651452888))"
138,"POLYGON ((-90.31201518237059 38.57724010399998, -90.31201518237059 38.57783185173159, -90.31080346505918 38.57783185173159, -90.31080346505918 38.57662651452888, -90.3114042168273 38.57662651452888, -90.31201518237059 38.57724010399998))"
139,"POLYGON ((-90.31201518237059 38.57783185173159, -90.31201518237059 38.57903718893429, -90.31080346505918 38.57903718893429, -90.31080346505918 38.57783185173159, -90.31201518237059 38.57783185173159))"
