"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"1400000US29510115300","Census Tract 1153, St. Louis city, Missouri","4958","4793","2697","1350","24","531","0","191","165","157","52","9","57","0","16","5","2","0","13","1","0","0","0","2","0","8","3","2","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510115400","Census Tract 1154, St. Louis city, Missouri","3122","2995","2241","509","5","102","0","138","127","122","41","10","43","5","18","3","0","1","0","0","0","0","0","1","0","5","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510115500","Census Tract 1155, St. Louis city, Missouri","5625","5412","2228","2899","15","81","2","187","213","197","96","24","34","0","11","13","3","8","4","0","2","0","2","0","0","15","10","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510115600","Census Tract 1156, St. Louis city, Missouri","5279","5099","2409","2356","24","131","3","176","180","141","68","24","9","0","10","15","2","1","3","0","0","1","1","2","5","39","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510115700","Census Tract 1157, St. Louis city, Missouri","3567","3447","1245","1927","13","170","0","92","120","110","67","9","12","6","6","7","0","1","1","0","0","0","0","0","1","10","8","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510116100","Census Tract 1161, St. Louis city, Missouri","3274","3140","1553","1027","6","378","1","175","134","129","41","17","34","1","12","8","2","0","2","0","0","2","2","8","0","5","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510116200","Census Tract 1162, St. Louis city, Missouri","4325","4176","2780","1190","13","141","0","52","149","142","62","15","54","1","3","6","0","0","0","0","0","0","0","1","0","7","1","1","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510116301","Census Tract 1163.01, St. Louis city, Missouri","2999","2905","1965","642","9","248","3","38","94","84","34","15","25","1","2","3","0","0","2","1","0","0","0","1","0","9","5","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510116302","Census Tract 1163.02, St. Louis city, Missouri","3007","2868","814","1376","15","511","0","152","139","132","27","12","45","0","13","12","2","4","6","2","0","0","0","9","0","7","4","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510116400","Census Tract 1164, St. Louis city, Missouri","4891","4681","1215","3050","15","236","1","164","210","182","83","16","21","0","33","11","7","4","3","3","0","0","0","1","0","26","7","1","0","1","0","0","1","0","0","0","14","0","1","0","1","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510116500","Census Tract 1165, St. Louis city, Missouri","3844","3741","1649","1752","10","221","0","109","103","95","44","16","15","0","8","4","7","0","1","0","0","0","0","0","0","8","3","0","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510117100","Census Tract 1171, St. Louis city, Missouri","1537","1477","1076","356","3","26","3","13","60","53","16","6","12","0","5","8","1","2","2","1","0","0","0","0","0","7","3","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510117200","Census Tract 1172, St. Louis city, Missouri","5359","5177","2517","2521","12","78","1","48","182","159","70","23","27","0","2","22","1","1","9","0","0","0","0","4","0","22","11","7","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510117400","Census Tract 1174, St. Louis city, Missouri","4235","4117","2404","1569","11","94","2","37","118","110","50","8","19","1","7","14","2","4","5","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510118100","Census Tract 1181, St. Louis city, Missouri","1324","1287","355","903","4","12","0","13","37","32","20","2","5","0","0","2","3","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510118400","Census Tract 1184, St. Louis city, Missouri","1159","1128","728","297","2","91","0","10","31","29","4","6","4","0","3","3","2","5","1","1","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510118600","Census Tract 1186, St. Louis city, Missouri","3421","3366","1635","1406","5","281","4","35","55","51","15","3","16","0","4","6","4","0","1","0","0","0","0","2","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510119101","Census Tract 1191.01, St. Louis city, Missouri","2584","2526","1346","873","6","292","0","9","58","52","16","5","12","0","4","5","5","2","1","1","0","0","0","1","0","6","2","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510119102","Census Tract 1191.02, St. Louis city, Missouri","2994","2936","1913","643","4","350","1","25","58","53","12","6","19","2","3","3","3","0","0","0","0","0","2","3","0","5","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510119200","Census Tract 1192, St. Louis city, Missouri","1703","1660","623","966","6","56","0","9","43","41","10","1","12","0","0","13","3","0","0","0","0","0","0","2","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510119300","Census Tract 1193, St. Louis city, Missouri","5454","5368","3313","1272","9","732","3","39","86","80","14","9","26","2","10","3","3","0","6","1","0","1","0","5","0","6","4","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510120200","Census Tract 1202, St. Louis city, Missouri","1271","1258","121","1129","0","6","0","2","13","13","4","0","0","0","0","1","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510121100","Census Tract 1211, St. Louis city, Missouri","1941","1912","267","1615","3","26","0","1","29","29","10","4","3","0","2","7","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
